url,baños,m² totales,dormitorios,error
https://www.portalinmobiliario.com/MLC-1515697657-amplia-casa-en-arriendo-calle-rengo-en-concepcion-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,2,250,5,No
https://www.portalinmobiliario.com/MLC-1513524553-barros-arana-a-pasos-udd-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,4,No
https://www.portalinmobiliario.com/MLC-1517494901-rozas-arriendo-impecable-amplia-casa-5-dormitorios-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,160,5,No
https://www.portalinmobiliario.com/MLC-1514760473-se-arrienda-excelente-casa-amplia-en-villa-san-valentin-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,2,160,4,No
https://www.portalinmobiliario.com/MLC-1506644319-arriendo-casa-3-dormitorios-sector-brisas-de-sol-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,2,,3,No
https://www.portalinmobiliario.com/MLC-2604575702-arrienda-casa-en-plaza-bolsillo-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,3,No
https://www.portalinmobiliario.com/MLC-1520147755-casa-en-condominio-san-andres-del-valle-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,,3,No
https://www.portalinmobiliario.com/MLC-2673632238-linda-casa-en-arriendo-modelo-maipo-san-andres-del-valle-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,3,No
https://www.portalinmobiliario.com/MLC-1518476299-casa-para-uso-comercial-o-habitacional-en-vilumilla-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,3,No
https://www.portalinmobiliario.com/MLC-1518424523-casa-en-arriendo-lo-pequen-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,181,4,No
https://www.portalinmobiliario.com/MLC-2673593754-casa-comercial-o-habitacional-en-barros-arana-_JM#position%3D11%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,,5,No
https://www.portalinmobiliario.com/MLC-1510571243-oferta-850000-3-primeros-meses-33432-_JM#position%3D12%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,,4,No
https://www.portalinmobiliario.com/MLC-1515690517-arriendo-casa-castellon-con-uso-comercial-42031-_JM#position%3D13%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,,No
https://www.portalinmobiliario.com/MLC-1517580955-casa-en-arriendo-en-san-andres-del-valle-38900-_JM#position%3D14%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,,3,No
https://www.portalinmobiliario.com/MLC-2681183606-san-andres-del-valle-_JM#position%3D15%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,211,3,No
https://www.portalinmobiliario.com/MLC-1519278485-arriendo-casa-amoblada-ideal-para-empresas-en-torreones-_JM#position%3D16%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,90,3,No
https://www.portalinmobiliario.com/MLC-2678455052-concepcion-centro-_JM#position%3D17%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,4,532,8,No
https://www.portalinmobiliario.com/MLC-1510965095-amplia-casa-sector-lo-pequen-concepcion-_JM#position%3D18%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,,4,No
https://www.portalinmobiliario.com/MLC-1520363369-valentin-letelier-_JM#position%3D19%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,4,457,4,No
https://www.portalinmobiliario.com/MLC-1519238799-tucapel-entre-calles-victor-lamas-y-avchacabuco-_JM#position%3D20%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,4,528,4,No
https://www.portalinmobiliario.com/MLC-2678836120-se-arrienda-local-comercial-en-concepcion-_JM#position%3D21%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,,No
https://www.portalinmobiliario.com/MLC-1506668627-arriendo-gran-casa-para-negocios-oportunidad-_JM#position%3D22%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,528,5,No
https://www.portalinmobiliario.com/MLC-2628514796-casa-comercial-pleno-centro-de-concepcion--_JM#position%3D23%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,4,91,3,No
https://www.portalinmobiliario.com/MLC-1516441771-arrienda-soleada-casa-en-sector-camilo-henriquez-concepcio-_JM#position%3D24%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,2,,,No
https://www.portalinmobiliario.com/MLC-1502905199-se-arrienda-casa-comercial-av-los-carreras-con-tucapel-_JM#position%3D25%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,,Sí
https://www.portalinmobiliario.com/MLC-2641746186-casa-nueva-para-arriendo-sector-residencial-concepcion-_JM#position%3D26%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,3,No
https://www.portalinmobiliario.com/MLC-2631851460-hermosa-casa-sector-fundo-san-guillermo-barrio-consolidado-_JM#position%3D27%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,2,,3,No
https://www.portalinmobiliario.com/MLC-2680618252-hermosa-casa-en-lomas-de-san-andres-_JM#position%3D28%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,4,,4,No
https://www.portalinmobiliario.com/MLC-1514996157-estupenda-propiedad-lomas-de-san-andres-del-valle-_JM#position%3D29%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,4,No
https://www.portalinmobiliario.com/MLC-2633479064-linda-casa-en-parcela-_JM#position%3D30%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,3,No
https://www.portalinmobiliario.com/MLC-2505939428-arrienda-propiedad-barrio-universitario-_JM#position%3D31%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,,Sí
https://www.portalinmobiliario.com/MLC-2594722544-se-arrienda-amplia-casa-en-sector-la-virgen-concepcion-_JM#position%3D32%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,612,4,No
https://www.portalinmobiliario.com/MLC-2615927536-arriendo-excelente-propiedad-apta-instituciones-o-cmedicos-_JM#position%3D33%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,2,,3,No
https://www.portalinmobiliario.com/MLC-1516216707-arriendo-casa-ideal-para-oficinas-9-o-10-privados-amplios-_JM#position%3D34%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,4,284,9,No
https://www.portalinmobiliario.com/MLC-2671933570-barrio-universitario-_JM#position%3D35%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,4,,,No
https://www.portalinmobiliario.com/MLC-2641824210-gran-casa-corporativa-central-en-concepcion-_JM#position%3D36%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,3,No
https://www.portalinmobiliario.com/MLC-1513482257-arriendo-casa-3d-2b-condomino-privado-_JM#position%3D37%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,2,,3,No
https://www.portalinmobiliario.com/MLC-1516075097-casa-en-arriendo-de-4-dorm-en-concepcion-_JM#position%3D38%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,126,3,No
https://www.portalinmobiliario.com/MLC-1515200019-casa-en-arriendo-de-5-dorm-en-concepcion-_JM#position%3D39%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,,5,No
https://www.portalinmobiliario.com/MLC-2606662044-casa-3-dormitorios-san-andres-del-valle-_JM#position%3D40%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,190,3,No
https://www.portalinmobiliario.com/MLC-2661194332-casa-en-arriendo-_JM#position%3D41%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,220,3,No
https://www.portalinmobiliario.com/MLC-1520336555-se-arrienda-casa-3d-3b-3e-lomas-de-san-sebastian-_JM#position%3D42%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,3,No
https://www.portalinmobiliario.com/MLC-1513872039-casa-en-arriendo-de-3-dorm-estacionamiento-en-concepcion-_JM#position%3D43%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,2,,3,No
https://www.portalinmobiliario.com/MLC-1516352093-se-arrienda-casa-collao-para-empresas-concepcion-_JM#position%3D44%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,,,3,No
https://www.portalinmobiliario.com/MLC-2656288620-se-arrienda-casa-uso-comercial-frente-a-udec-_JM#position%3D45%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,5,409,11,No
https://www.portalinmobiliario.com/MLC-1506535623-se-arrienda-amplia-casa-o-local-comercial-concepcion-_JM#position%3D46%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,2,100,3,No
https://www.portalinmobiliario.com/MLC-1520118491-casa-en-lomas-de-san-sebastian-_JM#position%3D47%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,159,4,No
https://www.portalinmobiliario.com/MLC-1515003235-casa-con-gran-terreno-en-lomas-de-san-andres-_JM#position%3D48%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D516bb04d-bed4-4c41-89ae-b05323ee08c7,3,905,5,No
